Date,Close/Last,Open,High,Low,Name
2022-07-19,31827.05,31165.91,31842.25,31165.91,Dow Jones Industrial Average
2022-07-18,31072.61,31475.98,31644.68,30982.97,Dow Jones Industrial Average
2022-07-15,31288.26,30775.37,31288.26,30775.37,Dow Jones Industrial Average
2022-07-14,30630.17,30451.8,30680.12,30143.93,Dow Jones Industrial Average
2022-07-13,30772.79,30743.63,30979.17,30514.61,Dow Jones Industrial Average
2022-07-12,30981.33,31113.31,31346.1,30860.51,Dow Jones Industrial Average
2022-07-11,31173.84,31277.98,31367.55,31114.4,Dow Jones Industrial Average
2022-07-08,31338.15,31348.43,31511.46,31212.45,Dow Jones Industrial Average
2022-07-07,31384.55,31190.65,31421.84,31154.64,Dow Jones Industrial Average
2022-07-06,31037.68,30957.3,31224.69,30794.84,Dow Jones Industrial Average
2022-07-05,30967.82,30903.12,30971.74,30355.12,Dow Jones Industrial Average
2022-07-01,31097.26,30737.77,31139.35,30487.79,Dow Jones Industrial Average
2022-06-30,30775.43,30790.0,30979.85,30431.87,Dow Jones Industrial Average
2022-06-29,31029.31,31067.41,31152.96,30894.53,Dow Jones Industrial Average
2022-06-28,30946.99,31549.05,31885.09,30934.33,Dow Jones Industrial Average
2022-06-27,31438.26,31533.6,31598.59,31351.37,Dow Jones Industrial Average
2022-06-24,31500.68,30846.94,31517.29,30846.94,Dow Jones Industrial Average
2022-06-23,30677.36,30570.33,30715.63,30293.4,Dow Jones Industrial Average
2022-06-22,30483.13,30352.57,30777.92,30166.01,Dow Jones Industrial Average
2022-06-21,30530.25,30074.69,30653.98,30074.69,Dow Jones Industrial Average
2022-06-17,29888.78,29912.7,30167.52,29653.29,Dow Jones Industrial Average
2022-06-16,29927.07,30305.74,30305.74,29740.35,Dow Jones Industrial Average
2022-06-15,30668.53,30570.5,31011.97,30185.08,Dow Jones Industrial Average
2022-06-14,30364.83,30592.34,30690.8,30144.23,Dow Jones Industrial Average
2022-06-13,30516.74,31144.91,31144.91,30373.72,Dow Jones Industrial Average
2022-06-10,31392.79,32053.52,32053.52,31387.84,Dow Jones Industrial Average
2022-06-09,32272.79,32828.62,32956.73,32267.78,Dow Jones Industrial Average
2022-06-08,32910.9,33087.07,33156.5,32824.37,Dow Jones Industrial Average
2022-06-07,33180.14,32783.03,33207.45,32641.85,Dow Jones Industrial Average
2022-06-06,32915.78,33032.04,33235.37,32819.5,Dow Jones Industrial Average
2022-06-03,32899.7,32986.32,33135.61,32839.21,Dow Jones Industrial Average
2022-06-02,33248.28,32809.01,33248.61,32509.43,Dow Jones Industrial Average
2022-06-01,32813.23,33156.31,33272.34,32584.76,Dow Jones Industrial Average
2022-05-31,32990.12,33160.59,33240.22,32752.34,Dow Jones Industrial Average
2022-05-27,33212.96,32735.09,33213.62,32682.01,Dow Jones Industrial Average
2022-05-26,32637.19,32248.17,32774.14,32248.17,Dow Jones Industrial Average
2022-05-25,32120.28,31816.31,32254.44,31754.33,Dow Jones Industrial Average
2022-05-24,31928.62,31717.61,32014.86,31365.59,Dow Jones Industrial Average
2022-05-23,31880.24,31395.89,31968.42,31395.89,Dow Jones Industrial Average
2022-05-20,31261.9,31426.94,31515.78,30635.76,Dow Jones Industrial Average
2022-05-19,31253.13,31262.62,31569.13,31016.41,Dow Jones Industrial Average
2022-05-18,31490.07,32468.67,32468.67,31393.95,Dow Jones Industrial Average
2022-05-17,32654.59,32427.0,32689.14,32308.15,Dow Jones Industrial Average
2022-05-16,32223.42,32152.15,32514.02,31928.18,Dow Jones Industrial Average
2022-05-13,32196.66,31963.86,32276.05,31862.79,Dow Jones Industrial Average
2022-05-12,31730.3,31699.04,31914.46,31228.22,Dow Jones Industrial Average
2022-05-11,31834.11,32123.24,32584.02,31798.86,Dow Jones Industrial Average
2022-05-10,32160.74,32504.09,32752.17,31887.89,Dow Jones Industrial Average
2022-05-09,32245.7,32685.17,32685.17,32121.98,Dow Jones Industrial Average
2022-05-06,32899.37,32773.88,33055.84,32474.69,Dow Jones Industrial Average
2022-05-05,32997.97,33854.17,33854.17,32685.1,Dow Jones Industrial Average
2022-05-04,34061.06,33171.8,34117.74,33021.84,Dow Jones Industrial Average
2022-05-03,33128.79,33086.09,33341.58,32914.75,Dow Jones Industrial Average
2022-05-02,33061.5,32978.49,33224.95,32449.87,Dow Jones Industrial Average
2022-04-29,32977.21,33787.01,33919.59,32913.15,Dow Jones Industrial Average
2022-04-28,33916.39,33425.96,34054.79,33248.46,Dow Jones Industrial Average
2022-04-27,33301.93,33450.92,33697.18,33108.89,Dow Jones Industrial Average
2022-04-26,33240.18,33907.49,33909.51,33230.95,Dow Jones Industrial Average
2022-04-25,34049.46,33731.65,34106.01,33323.37,Dow Jones Industrial Average
2022-04-22,33811.4,34727.38,34727.38,33773.39,Dow Jones Industrial Average
2022-04-21,34792.76,35258.8,35492.22,34723.82,Dow Jones Industrial Average
2022-04-20,35160.79,34962.67,35315.4,34962.67,Dow Jones Industrial Average
2022-04-19,34911.2,34394.62,34983.11,34394.62,Dow Jones Industrial Average
2022-04-18,34411.69,34411.49,34618.29,34279.08,Dow Jones Industrial Average
2022-04-14,34451.23,34628.46,34889.17,34437.5,Dow Jones Industrial Average
2022-04-13,34564.59,34166.64,34598.36,34140.64,Dow Jones Industrial Average
2022-04-12,34220.36,34412.51,34669.97,34102.81,Dow Jones Industrial Average
2022-04-11,34308.08,34630.27,34701.34,34272.29,Dow Jones Industrial Average
2022-04-08,34721.12,34569.24,34908.46,34470.19,Dow Jones Industrial Average
2022-04-07,34583.57,34439.24,34705.83,34190.95,Dow Jones Industrial Average
2022-04-06,34496.51,34520.34,34609.84,34277.17,Dow Jones Industrial Average
2022-04-05,34641.18,34876.33,35112.21,34566.04,Dow Jones Industrial Average
2022-04-04,34921.88,34799.98,34940.78,34615.38,Dow Jones Industrial Average
2022-04-01,34818.27,34740.89,34847.91,34538.25,Dow Jones Industrial Average
2022-03-31,34678.35,35201.52,35201.52,34677.99,Dow Jones Industrial Average
2022-03-30,35228.81,35273.63,35361.36,35058.58,Dow Jones Industrial Average
2022-03-29,35294.19,35114.35,35372.26,35030.07,Dow Jones Industrial Average
2022-03-28,34955.89,34833.03,34957.93,34552.23,Dow Jones Industrial Average
2022-03-25,34861.24,34702.39,34942.7,34631.52,Dow Jones Industrial Average
2022-03-24,34707.94,34406.81,34713.56,34355.42,Dow Jones Industrial Average
2022-03-23,34358.5,34748.84,34748.84,34352.96,Dow Jones Industrial Average
2022-03-22,34807.46,34583.24,34882.03,34583.24,Dow Jones Industrial Average
2022-03-21,34552.99,34669.85,34808.28,34341.81,Dow Jones Industrial Average
2022-03-18,34754.93,34466.72,34755.2,34279.83,Dow Jones Industrial Average
2022-03-17,34480.76,33995.39,34483.92,33896.06,Dow Jones Industrial Average
2022-03-16,34063.1,33653.93,34075.94,33391.24,Dow Jones Industrial Average
2022-03-15,33544.34,32989.27,33620.84,32989.27,Dow Jones Industrial Average
2022-03-14,32945.24,33000.37,33395.59,32818.16,Dow Jones Industrial Average
2022-03-11,32944.19,33279.72,33515.61,32911.89,Dow Jones Industrial Average
2022-03-10,33174.07,33106.77,33236.59,32819.76,Dow Jones Industrial Average
2022-03-09,33286.25,32860.42,33457.28,32860.42,Dow Jones Industrial Average
2022-03-08,32632.64,32885.17,33402.98,32578.73,Dow Jones Industrial Average
2022-03-07,32817.38,33579.75,33579.75,32806.15,Dow Jones Industrial Average
2022-03-04,33614.8,33655.43,33655.43,33254.12,Dow Jones Industrial Average
2022-03-03,33794.66,33972.87,34179.07,33641.53,Dow Jones Industrial Average
2022-03-02,33891.35,33379.51,34013.67,33379.51,Dow Jones Industrial Average
2022-03-01,33294.95,33813.48,33870.14,33107.67,Dow Jones Industrial Average
2022-02-28,33892.6,33870.62,33963.63,33469.31,Dow Jones Industrial Average
2022-02-25,34058.75,33277.22,34095.74,33277.22,Dow Jones Industrial Average
2022-02-24,33223.83,32830.33,33269.34,32272.64,Dow Jones Industrial Average
2022-02-23,33131.76,33680.97,33832.59,33084.9,Dow Jones Industrial Average
2022-02-22,33596.61,33974.09,34024.74,33364.29,Dow Jones Industrial Average
2022-02-18,34079.18,34310.45,34423.58,33976.18,Dow Jones Industrial Average
2022-02-17,34312.03,34858.47,34858.47,34246.23,Dow Jones Industrial Average
2022-02-16,34934.27,34951.83,35042.09,34642.64,Dow Jones Industrial Average
2022-02-15,34988.84,34686.19,35047.79,34686.19,Dow Jones Industrial Average
2022-02-14,34566.17,34694.5,34744.56,34304.28,Dow Jones Industrial Average
2022-02-11,34738.06,35267.89,35431.15,34620.52,Dow Jones Industrial Average
2022-02-10,35241.59,35630.81,35800.24,35100.72,Dow Jones Industrial Average
2022-02-09,35768.06,35614.9,35824.28,35614.9,Dow Jones Industrial Average
2022-02-08,35462.78,35160.68,35544.89,35090.42,Dow Jones Industrial Average
2022-02-07,35091.13,35108.38,35325.01,34993.98,Dow Jones Industrial Average
2022-02-04,35089.74,35095.74,35333.55,34799.08,Dow Jones Industrial Average
2022-02-03,35111.16,35520.08,35535.94,35071.06,Dow Jones Industrial Average
2022-02-02,35629.33,35378.19,35679.2,35290.12,Dow Jones Industrial Average
2022-02-01,35405.24,35151.47,35441.09,34977.95,Dow Jones Industrial Average
2022-01-31,35131.86,34691.17,35148.14,34496.1,Dow Jones Industrial Average
2022-01-28,34725.47,34135.24,34731.77,33807.51,Dow Jones Industrial Average
2022-01-27,34160.78,34261.75,34773.32,34007.78,Dow Jones Industrial Average
2022-01-26,34168.09,34520.82,34815.67,33876.48,Dow Jones Industrial Average
2022-01-25,34297.73,34186.64,34591.04,33545.52,Dow Jones Industrial Average
2022-01-24,34364.5,34070.61,34420.99,33150.33,Dow Jones Industrial Average
2022-01-21,34265.37,34701.69,34896.67,34229.55,Dow Jones Industrial Average
2022-01-20,34715.39,35102.66,35490.2,34670.12,Dow Jones Industrial Average
2022-01-19,35028.65,35412.3,35547.83,35015.49,Dow Jones Industrial Average
2022-01-18,35368.47,35661.76,35661.76,35262.02,Dow Jones Industrial Average
2022-01-14,35911.81,35996.43,35996.43,35641.49,Dow Jones Industrial Average
2022-01-13,36113.62,36312.49,36513.88,36044.22,Dow Jones Industrial Average
2022-01-12,36290.32,36336.16,36453.49,36168.15,Dow Jones Industrial Average
2022-01-11,36252.02,36058.85,36271.47,35769.38,Dow Jones Industrial Average
2022-01-10,36068.87,36175.21,36175.21,35639.91,Dow Jones Industrial Average
2022-01-07,36231.66,36249.59,36382.84,36111.53,Dow Jones Industrial Average
2022-01-06,36236.47,36409.05,36464.19,36200.68,Dow Jones Industrial Average
2022-01-05,36407.11,36722.6,36952.65,36400.39,Dow Jones Industrial Average
2022-01-04,36799.65,36636.0,36934.84,36636.0,Dow Jones Industrial Average
2022-01-03,36585.06,36321.59,36595.82,36246.45,Dow Jones Industrial Average
2021-12-31,36338.3,36385.85,36484.94,36303.97,Dow Jones Industrial Average
2021-12-30,36398.08,36522.48,36679.44,36372.13,Dow Jones Industrial Average
2021-12-29,36488.63,36421.14,36571.55,36396.19,Dow Jones Industrial Average
2021-12-28,36398.21,36302.99,36527.26,36302.99,Dow Jones Industrial Average
2021-12-27,36302.38,35954.48,36306.61,35954.48,Dow Jones Industrial Average
2021-12-23,35950.56,35782.42,36060.99,35782.42,Dow Jones Industrial Average
2021-12-22,35753.89,35491.71,35764.67,35433.13,Dow Jones Industrial Average
2021-12-21,35492.7,35069.5,35508.96,35069.5,Dow Jones Industrial Average
