Date,Close/Last,Volume,Open,High,Low,Name
2022-09-21,89.83,26974.0,90.69,91.18,89.3,Brent Crude Oil
2022-09-20,90.62,23999.0,91.97,91.03,90.02,Brent Crude Oil
2022-09-19,92.0,17116.0,91.65,92.58,88.48,Brent Crude Oil
2022-09-16,91.35,20004.0,90.65,92.64,90.22,Brent Crude Oil
2022-09-15,90.84,29114.0,94.43,91.63,90.51,Brent Crude Oil
2022-09-14,94.1,28453.0,93.49,95.81,93.65,Brent Crude Oil
2022-09-13,93.17,27092.0,94.21,93.82,92.58,Brent Crude Oil
2022-09-12,94.0,21220.0,92.3,95.02,93.55,Brent Crude Oil
2022-09-09,92.84,21705.0,88.46,93.1,88.32,Brent Crude Oil
2022-09-08,89.15,21374.0,87.64,89.09,88.19,Brent Crude Oil
2022-09-07,88.0,28168.0,92.8,89.96,87.4,Brent Crude Oil
2022-09-06,92.83,34323.0,93.09,93.16,92.28,Brent Crude Oil
2022-09-02,93.02,21625.0,92.0,95.32,92.0,Brent Crude Oil
2022-09-01,92.36,22384.0,94.78,95.66,91.81,Brent Crude Oil
2022-08-31,96.49,1.0,99.71,96.53,96.53,Brent Crude Oil
2022-08-30,99.31,4779.0,105.0,101.05,97.67,Brent Crude Oil
2022-08-29,105.09,5582.0,100.83,105.48,100.29,Brent Crude Oil
2022-08-26,100.99,13082.0,99.88,101.17,98.14,Brent Crude Oil
2022-08-25,99.34,20001.0,101.6,102.47,99.12,Brent Crude Oil
2022-08-24,101.22,24125.0,100.16,102.0,99.07,Brent Crude Oil
2022-08-23,100.22,21277.0,96.58,100.45,96.51,Brent Crude Oil
2022-08-22,96.48,26040.0,95.66,97.25,92.36,Brent Crude Oil
2022-08-19,96.72,21984.0,96.63,97.87,94.25,Brent Crude Oil
2022-08-18,96.59,21076.0,93.18,97.41,93.05,Brent Crude Oil
2022-08-17,93.65,18823.0,92.77,94.46,91.52,Brent Crude Oil
2022-08-16,92.34,22235.0,93.64,95.95,91.72,Brent Crude Oil
2022-08-15,95.1,20288.0,97.76,98.04,92.72,Brent Crude Oil
2022-08-12,98.15,19755.0,99.29,100.35,96.94,Brent Crude Oil
2022-08-11,99.6,20669.0,97.27,100.16,96.65,Brent Crude Oil
2022-08-10,97.4,27329.0,96.46,97.98,93.61,Brent Crude Oil
2022-08-09,96.31,20201.0,96.54,98.39,94.91,Brent Crude Oil
2022-08-08,96.65,16969.0,94.27,96.73,92.99,Brent Crude Oil
2022-08-05,94.92,16100.0,93.59,96.4,92.75,Brent Crude Oil
2022-08-04,94.12,20734.0,97.01,96.91,93.15,Brent Crude Oil
2022-08-03,96.78,21709.0,99.64,102.37,96.48,Brent Crude Oil
2022-08-02,100.54,16948.0,100.0,102.41,99.56,Brent Crude Oil
2022-08-01,100.03,24757.0,103.87,100.49,99.36,Brent Crude Oil
2022-07-29,103.97,23686.0,102.54,104.27,103.5,Brent Crude Oil
2022-07-28,107.14,4903.0,107.49,108.98,105.96,Brent Crude Oil
2022-07-27,106.62,8456.0,104.78,107.8,103.72,Brent Crude Oil
2022-07-26,104.4,16097.0,104.81,107.35,103.98,Brent Crude Oil
2022-07-25,105.15,14152.0,103.44,105.35,103.46,Brent Crude Oil
2022-07-22,103.2,16584.0,104.25,105.47,103.07,Brent Crude Oil
2022-07-21,103.86,24564.0,106.79,106.8,101.52,Brent Crude Oil
2022-07-20,106.92,23077.0,107.15,107.43,105.09,Brent Crude Oil
2022-07-19,107.35,21307.0,105.59,107.6,104.9,Brent Crude Oil
2022-07-18,106.27,19550.0,100.92,106.47,99.48,Brent Crude Oil
2022-07-15,101.16,18400.0,99.6,102.62,98.21,Brent Crude Oil
2022-07-14,99.1,27385.0,99.85,100.37,94.5,Brent Crude Oil
2022-07-13,99.57,21737.0,99.31,101.2,97.3,Brent Crude Oil
2022-07-12,99.49,22379.0,106.23,106.51,98.91,Brent Crude Oil
2022-07-11,107.1,17016.0,106.76,107.33,103.66,Brent Crude Oil
2022-07-08,107.02,19749.0,104.49,107.45,103.75,Brent Crude Oil
2022-07-07,104.65,22129.0,99.96,106.35,98.47,Brent Crude Oil
2022-07-06,100.69,27708.0,104.0,101.09,99.14,Brent Crude Oil
2022-07-05,102.77,40936.0,111.61,103.28,102.41,Brent Crude Oil
2022-07-01,111.63,16671.0,109.46,112.42,108.01,Brent Crude Oil
2022-06-30,114.81,68.0,116.04,116.33,115.0,Brent Crude Oil
2022-06-29,116.26,2364.0,117.96,120.38,115.41,Brent Crude Oil
2022-06-28,117.98,4668.0,115.84,118.24,115.4,Brent Crude Oil
2022-06-27,115.09,9749.0,112.46,116.04,111.25,Brent Crude Oil
2022-06-24,113.12,10685.0,109.81,113.99,109.27,Brent Crude Oil
2022-06-23,110.05,20378.0,110.22,112.69,108.11,Brent Crude Oil
2022-06-22,111.74,32687.0,114.57,114.57,107.03,Brent Crude Oil
2022-06-21,114.65,20667.0,113.8,116.25,111.57,Brent Crude Oil
2022-06-17,113.12,25051.0,119.34,121.25,111.72,Brent Crude Oil
2022-06-16,119.81,23437.0,119.12,120.28,118.77,Brent Crude Oil
2022-06-15,118.51,21735.0,121.0,121.85,117.75,Brent Crude Oil
2022-06-14,121.17,26925.0,122.5,121.25,118.94,Brent Crude Oil
2022-06-13,122.27,20110.0,121.69,123.61,118.95,Brent Crude Oil
2022-06-10,122.01,24173.0,122.94,124.33,119.87,Brent Crude Oil
2022-06-09,123.07,20446.0,123.89,124.33,122.5,Brent Crude Oil
2022-06-08,123.58,21151.0,121.03,124.41,120.46,Brent Crude Oil
2022-06-07,120.57,19436.0,120.08,121.38,118.56,Brent Crude Oil
2022-06-06,119.51,15718.0,121.35,121.89,118.76,Brent Crude Oil
2022-06-03,119.72,10057.0,118.26,121.44,116.08,Brent Crude Oil
2022-06-02,117.61,21679.0,115.82,118.44,112.48,Brent Crude Oil
2022-06-01,116.29,20193.0,116.63,118.58,115.43,Brent Crude Oil
2022-05-31,122.84,615.0,119.47,124.13,119.36,Brent Crude Oil
2022-05-27,119.43,3816.0,117.54,119.73,116.68,Brent Crude Oil
2022-05-26,117.4,9969.0,114.45,118.0,113.84,Brent Crude Oil
2022-05-25,114.03,11005.0,113.92,115.32,113.04,Brent Crude Oil
2022-05-24,113.56,18322.0,113.36,114.03,113.37,Brent Crude Oil
2022-05-23,113.42,18195.0,112.74,114.36,111.86,Brent Crude Oil
2022-05-20,112.55,16218.0,111.5,113.22,110.54,Brent Crude Oil
2022-05-19,112.04,25326.0,109.3,112.27,105.7,Brent Crude Oil
2022-05-18,109.11,20775.0,112.89,114.13,108.35,Brent Crude Oil
2022-05-17,111.93,22410.0,114.29,115.66,111.12,Brent Crude Oil
2022-05-16,114.24,19401.0,111.41,114.78,109.04,Brent Crude Oil
2022-05-13,111.55,23459.0,108.0,111.69,107.81,Brent Crude Oil
2022-05-12,107.45,25396.0,107.56,108.69,104.69,Brent Crude Oil
2022-05-11,107.51,30171.0,101.7,108.26,100.93,Brent Crude Oil
2022-05-10,102.46,25352.0,105.56,106.91,101.7,Brent Crude Oil
2022-05-09,105.94,27321.0,113.05,113.22,104.95,Brent Crude Oil
2022-05-06,112.39,23341.0,111.15,113.52,109.88,Brent Crude Oil
2022-05-05,110.9,25808.0,110.14,113.99,109.23,Brent Crude Oil
2022-05-04,110.14,20271.0,106.1,111.0,105.5,Brent Crude Oil
2022-05-03,104.97,22191.0,107.37,108.3,104.62,Brent Crude Oil
2022-05-02,107.58,22457.0,106.2,108.41,103.13,Brent Crude Oil
2022-04-29,109.34,55.0,107.65,109.77,107.65,Brent Crude Oil
2022-04-28,107.59,4791.0,104.76,107.93,103.3,Brent Crude Oil
2022-04-27,105.32,6138.0,105.37,106.35,103.27,Brent Crude Oil
2022-04-26,104.99,10531.0,102.57,106.15,101.12,Brent Crude Oil
2022-04-25,102.32,13559.0,105.74,105.95,99.47,Brent Crude Oil
2022-04-22,106.65,9554.0,108.64,108.73,105.53,Brent Crude Oil
2022-04-21,108.33,11502.0,107.01,109.79,106.78,Brent Crude Oil
2022-04-20,106.8,14432.0,107.72,108.98,104.67,Brent Crude Oil
2022-04-19,107.25,16856.0,112.65,114.05,106.77,Brent Crude Oil
2022-04-18,113.16,11607.0,111.89,114.82,110.72,Brent Crude Oil
2022-04-14,111.7,15831.0,108.37,112.39,106.64,Brent Crude Oil
2022-04-13,108.78,20320.0,104.98,109.0,104.07,Brent Crude Oil
2022-04-12,104.64,21239.0,99.25,105.6,98.98,Brent Crude Oil
2022-04-11,98.48,21586.0,103.07,103.09,97.62,Brent Crude Oil
2022-04-08,102.78,15565.0,101.69,103.25,99.71,Brent Crude Oil
2022-04-07,100.58,17331.0,102.15,103.5,98.45,Brent Crude Oil
2022-04-06,101.07,19208.0,105.79,108.66,100.54,Brent Crude Oil
2022-04-05,106.64,14527.0,108.24,109.85,104.56,Brent Crude Oil
2022-04-04,107.53,15925.0,104.25,108.55,102.91,Brent Crude Oil
2022-04-01,104.39,16219.0,105.99,106.2,102.37,Brent Crude Oil
2022-03-31,107.91,31.0,108.71,109.36,107.37,Brent Crude Oil
2022-03-30,113.45,1951.0,111.0,114.65,110.9,Brent Crude Oil
2022-03-29,110.23,5147.0,109.73,114.71,104.98,Brent Crude Oil
2022-03-28,112.48,13740.0,120.31,117.95,109.06,Brent Crude Oil
2022-03-25,120.65,12801.0,118.28,120.87,115.21,Brent Crude Oil
2022-03-24,119.03,11611.0,121.27,123.7,116.95,Brent Crude Oil
2022-03-23,121.6,11080.0,114.74,122.29,114.42,Brent Crude Oil
2022-03-22,115.48,11704.0,116.85,119.42,112.77,Brent Crude Oil
2022-03-21,115.62,10885.0,107.37,116.73,107.09,Brent Crude Oil
2022-03-18,107.93,9584.0,107.24,109.57,105.8,Brent Crude Oil
2022-03-17,106.64,14363.0,98.1,107.57,97.88,Brent Crude Oil
2022-03-16,98.02,17933.0,99.04,103.68,96.95,Brent Crude Oil
2022-03-15,99.91,24733.0,106.0,106.46,97.5,Brent Crude Oil
